	observed_features
SRR32035653	95
SRR32035654	121
SRR32035655	181
SRR32035656	65
SRR32035657	130
SRR32035658	70
SRR32035659	109
SRR32035660	123
SRR32035662	145
SRR32035663	147
SRR32035664	101
SRR32035665	153
SRR32035666	94
SRR32035667	16
SRR32035668	134
SRR32035671	115
SRR32035672	169
SRR32035675	212
SRR32035676	127
SRR32035677	186
SRR32035680	112
SRR32035682	219
SRR32035683	91
SRR32035684	134
SRR32035685	144
SRR32035686	94
SRR32035687	51
SRR32035689	85
SRR32035690	149
SRR32035692	150
SRR32035696	59
SRR32035697	138
SRR32035698	70
SRR32035700	173
SRR32035703	65
SRR32035704	28
SRR32035705	35
SRR32035706	59
SRR32035707	124
SRR32035708	52
SRR32035710	115
SRR32035712	63
SRR32035716	129
SRR32035718	180
SRR32035721	100
SRR32035722	115
SRR32035724	103
SRR32035725	100
SRR32035726	94
SRR32035727	83
SRR32035728	94
SRR32035729	55
SRR32035732	82
SRR32035733	108
SRR32035738	80
SRR32035739	116
SRR32035740	65
SRR32035743	99
SRR32035746	61
SRR32035747	51
SRR32035748	65
SRR32035749	51
SRR32035751	162
SRR32035752	63
SRR32035753	66
SRR32035754	100
SRR32035755	148
SRR32035756	71
SRR32035757	91
SRR32035758	172
SRR32035759	176
SRR32035760	140
SRR32035762	91
SRR32035763	89
SRR32035764	112
SRR32035765	54
SRR32035766	98
SRR32035767	188
SRR32035768	80
SRR32035769	84
SRR32035770	129
SRR32035771	50
SRR32035772	76
SRR32035773	110
SRR32035774	101
SRR32035777	105
SRR32035778	104
SRR32035779	73
SRR32035780	94
SRR32035781	212
SRR32035783	110
SRR32035784	87
SRR32035785	76
SRR32035787	144
SRR32035788	181
SRR32035790	147
SRR32035791	91
SRR32035793	146
SRR32035796	94
SRR32035797	37
SRR32035798	48
SRR32035799	51
SRR32035800	116
SRR32035801	37
SRR32035802	147
SRR32035803	105
SRR32035804	91
SRR32035805	177
SRR32035806	77
SRR32035807	152
SRR32035808	74
SRR32035809	93
SRR32035810	95
SRR32035812	134
SRR32035813	175
SRR32035815	94
SRR32035816	105
SRR32035817	101
SRR32035819	73
SRR32035820	102
SRR32035821	133
SRR32035823	136
SRR32035824	193
SRR32035825	117
SRR32035826	127
SRR32035827	103
SRR32035828	460
SRR32035830	131
SRR32035832	101
SRR32035833	254
SRR32035834	152
SRR32035835	158
SRR32035836	170
SRR32035837	73
SRR32035840	143
SRR32035841	53
SRR32035842	94
SRR32035844	93
SRR32035845	85
SRR32035846	50
SRR32035848	154
SRR32035849	161
SRR32035851	125
SRR32035852	64
SRR32035853	127
SRR32035854	145
SRR32035856	81
SRR32035859	119
SRR32035862	129
SRR32035863	98
SRR32035866	129
SRR32035867	73
SRR32035868	133
SRR32035869	139
SRR32035871	170
SRR32035872	215
SRR32035873	83
SRR32035876	178
SRR32035877	88
SRR32035881	26
SRR32035882	63
SRR32035883	134
SRR32035884	66
SRR32035885	232
SRR32035886	174
SRR32035887	80
SRR32035888	40
SRR32035889	207
SRR32035890	150
SRR32035891	97
SRR32035892	166
SRR32035894	49
SRR32035895	160
SRR32035897	181
SRR32035899	24
SRR32035900	67
SRR32035901	123
SRR32035902	96
SRR32035904	281
SRR32035905	93
SRR32035906	62
SRR32035907	71
SRR32035908	85
SRR32035909	72
SRR32035910	81
SRR32035911	121
SRR32035912	103
SRR32035914	142
SRR32035915	95
SRR32035916	156
SRR32035917	128
SRR32035918	196
SRR32035919	92
SRR32035920	126
SRR32035922	150
SRR32035923	118
SRR32035925	219
SRR32035926	157
SRR32035927	114
SRR32035929	77
SRR32035930	91
SRR32035931	107
SRR32035932	83
SRR32035933	67
SRR32035934	153
SRR32035937	121
SRR32035939	82
SRR32035940	89
SRR32035941	72
SRR32035942	40
SRR32035943	133
SRR32035944	172
SRR32035946	117
SRR32035947	95
SRR32035948	38
SRR32035950	149
SRR32035951	56
SRR32035953	42
SRR32035954	67
SRR32035955	128
SRR32035959	87
SRR32035960	71
SRR32035961	63
SRR32035962	73
SRR32035963	65
SRR32035965	109
SRR32035970	71
SRR32035976	118
SRR32035977	24
SRR32035978	65
SRR32035979	153
SRR32035980	218
SRR32035981	127
SRR32035982	129
SRR32035983	93
SRR32035984	71
SRR32035985	86
SRR32035987	215
SRR32035988	43
SRR32035989	161
SRR32035990	94
SRR32035991	52
SRR32035992	51
SRR32035993	76
SRR32035994	90
SRR32035995	133
SRR32035996	103
SRR32035997	83
SRR32035998	98
SRR32035999	63
SRR32036000	140
SRR32036001	76
SRR32036002	65
SRR32036003	174
SRR32036004	82
SRR32036005	191
SRR32036006	194
SRR32036007	43
SRR32036009	121
SRR32036010	127
SRR32036011	91
SRR32036012	172
SRR32036013	70
SRR32036014	128
SRR32036015	41
SRR32036016	62
SRR32036017	136
SRR32036018	188
SRR32036019	56
SRR32036020	112
SRR32036021	153
SRR32036022	160
SRR32036024	153
SRR32036025	169
SRR32036027	81
SRR32036028	105
SRR32036029	56
SRR32036030	178
SRR32036031	193
SRR32036032	130
SRR32036034	196
SRR32036036	134
SRR32036037	183
SRR32036039	150
SRR32036040	157
SRR32036041	136
SRR32036042	140
SRR32036043	57
SRR32036045	81
SRR32036046	92
SRR32036047	118
SRR32036048	245
SRR32036050	119
SRR32036052	148
SRR32036053	196
SRR32036064	201
SRR32036066	122
SRR32036067	109
SRR32036070	81
SRR32036071	140
SRR32036072	135
SRR32036073	74
SRR32036074	197
SRR32036075	98
SRR32036076	164
SRR32036077	125
SRR32036078	139
SRR32036080	112
SRR32036081	171
SRR32036082	128
SRR32036083	143
SRR32036084	85
SRR32036086	130
SRR32036087	79
SRR32036088	59
SRR32036089	74
SRR32036091	118
SRR32036092	79
SRR32036094	164
SRR32036095	121
SRR32036098	209
SRR32036099	145
SRR32036100	109
SRR32036101	198
SRR32036102	132
SRR32036103	121
SRR32036104	111
SRR32036105	204
SRR32036106	120
SRR32036108	105
SRR32036109	183
SRR32036111	76
SRR32036112	191
SRR32036113	151
SRR32036114	154
SRR32036115	81
SRR32036118	158
SRR32036119	131
SRR32036120	112
SRR32036122	118
SRR32036123	104
SRR32036124	210
SRR32036125	158
SRR32036126	184
SRR32036127	131
SRR32036128	98
SRR32036130	145
SRR32036131	116
SRR32036132	63
SRR32036133	147
SRR32036134	64
SRR32036135	43
SRR32036140	51
SRR32036142	104
SRR32036143	23
SRR32036144	45
SRR32036146	104
SRR32036147	80
SRR32036148	78
SRR32036149	56
SRR32036154	86
SRR32036164	121
SRR32036166	118
SRR32036167	118
SRR32036168	78
SRR32036169	99
SRR32036172	97
SRR32036173	106
SRR32036174	127
SRR32036175	123
SRR32036176	120
SRR32036180	38
SRR32036183	97
SRR32036184	142
SRR32036185	118
SRR32036188	131
SRR32036189	135
SRR32036190	76
SRR32036191	103
SRR32036192	131
SRR32036193	73
SRR32036194	132
SRR32036195	127
SRR32036196	112
SRR32036197	106
SRR32036198	122
SRR32036200	91
SRR32036201	76
SRR32036203	52
SRR32036204	174
SRR32036206	92
SRR32036208	98
SRR32036209	31
SRR32036211	151
SRR32036212	115
SRR32036213	138
SRR32036214	132
SRR32036215	60
SRR32036218	71
SRR32036221	68
SRR32036222	71
SRR32036225	49
SRR32036226	107
SRR32036227	76
SRR32036228	96
SRR32036229	81
SRR32036230	60
SRR32036231	35
SRR32036232	51
SRR32036234	104
SRR32036236	74
SRR32036238	147
SRR32036239	126
SRR32036240	138
SRR32036241	131
SRR32036242	71
SRR32036244	78
SRR32036246	110
SRR32036247	129
SRR32036248	165
SRR32036249	82
SRR32036250	117
SRR32036251	165
SRR32036255	285
SRR32036256	232
SRR32036257	122
SRR32036259	114
SRR32036260	149
SRR32036261	158
SRR32036262	106
SRR32036263	146
SRR32036264	192
SRR32036265	101
SRR32036266	176
SRR32036267	143
SRR32036268	125
SRR32036270	43
SRR32036271	62
SRR32036274	77
SRR32036275	202
SRR32036277	193
SRR32036280	223
SRR32036282	94
SRR32036283	112
SRR32036284	124
SRR32036285	144
SRR32036286	91
SRR32036287	208
SRR32036288	47
SRR32036290	211
SRR32036291	121
SRR32036292	138
SRR32036293	215
SRR32036296	104
SRR32036297	154
SRR32036298	129
SRR32036299	195
SRR32036300	103
SRR32036301	135
SRR32036302	84
SRR32036303	140
SRR32036304	110
SRR32036305	16
SRR32036306	151
SRR32036307	173
SRR32036308	95
SRR32036310	81
SRR32036315	125
SRR32036316	17
SRR32036317	182
SRR32036318	19
SRR32036319	192
SRR32036320	82
SRR32036321	149
SRR32036322	168
SRR32036323	85
SRR32036324	123
SRR32036327	61
SRR32036328	150
SRR32036329	394
SRR32036330	48
SRR32036331	57
SRR32036332	218
SRR32036334	188
SRR32036335	201
SRR32036336	97
SRR32036337	113
SRR32036338	156
SRR32036339	65
SRR32036340	252
SRR32036341	219
SRR32036342	40
SRR32036343	176
SRR32036344	241
SRR32036345	268
SRR32036346	157
SRR32036347	283
SRR32036348	102
SRR32036349	109
SRR32036350	125
SRR32036351	130
SRR32036353	66
SRR32036354	99
SRR32036355	83
SRR32036356	181
SRR32036358	118
SRR32036359	126
SRR32036361	159
SRR32036362	234
SRR32036364	128
SRR32036365	115
SRR32036366	68
SRR32036367	35
SRR32036368	99
SRR32036369	98
SRR32036370	137
SRR32036371	181
SRR32036372	136
SRR32036373	141
SRR32036375	77
SRR32036376	116
SRR32036377	229
SRR32036378	48
SRR32036380	142
SRR32036381	171
SRR32036383	108
SRR32036384	157
SRR32036387	165
SRR32036388	176
SRR32036389	57
SRR32036390	207
SRR32036391	165
SRR32036393	183
SRR32036394	143
SRR32036395	205
SRR32036396	56
SRR32036397	75
SRR32036398	122
SRR32036402	91
SRR32036404	88
SRR32036405	27
SRR32036410	95
SRR32036411	86
SRR32036412	56
SRR32036413	134
SRR32036415	79
SRR32036416	115
SRR32036417	60
SRR32036418	75
SRR32036419	49
SRR32036421	121
SRR32036422	80
SRR32036423	60
SRR32036424	54
SRR32036426	109
SRR32036427	130
SRR32036428	96
SRR32036429	66
SRR32036430	120
SRR32036431	83
SRR32036434	117
SRR32036437	67
SRR32036439	38
SRR32036442	83
SRR32036443	105
SRR32036445	19
SRR32036446	127
SRR32036447	80
SRR32036448	34
SRR32036449	51
SRR32036450	73
SRR32036452	100
SRR32036453	48
SRR32036457	120
SRR32036458	90
SRR32036459	89
SRR32036460	69
SRR32036461	35
SRR32036463	123
SRR32036465	58
SRR32036466	119
SRR32036468	122
SRR32036469	147
SRR32036470	85
SRR32036471	62
SRR32036472	118
SRR32036473	140
SRR32036474	91
SRR32036475	82
SRR32036476	144
SRR32036477	136
SRR32036479	169
SRR32036480	134
SRR32036481	58
SRR32036482	61
SRR32036483	185
SRR32036484	66
SRR32036486	66
SRR32036487	88
SRR32036490	177
SRR32036491	82
SRR32036492	116
SRR32036493	111
SRR32036494	86
SRR32036495	68
SRR32036496	95
SRR32036497	156
SRR32036498	97
SRR32036499	115
SRR32036500	72
SRR32036501	115
SRR32036502	168
SRR32036503	210
SRR32036504	73
SRR32036505	241
SRR32036506	128
SRR32036507	240
SRR32036508	28
SRR32036509	195
SRR32036510	108
SRR32036511	78
SRR32036512	78
SRR32036513	182
SRR32036514	201
SRR32036515	100
SRR32036517	86
SRR32036518	131
SRR32036519	125
SRR32036520	77
SRR32036521	71
SRR32036522	107
SRR32036523	49
SRR32036524	60
SRR32036525	129
SRR32036527	151
